Identifier / Formula,Name,ArXiV,Wikipedia,Wikidata,Wikidata1,Wikidata2,WordWindow,FormulaConceptDB,type,time,manualSelectionTime
M_\odot,N/A (N/A),-,-,-,-,-,-,-,global,False,False
r,N/A (N/A),-,-,-,-,-,-,-,global,False,False
m,N/A (N/A),-,-,-,-,-,-,-,global,False,False
k,N/A (N/A),-,-,-,-,-,-,-,global,False,False
s,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\frac{M}{10^8M_\odot} \approx 1.9\left(\frac{\sigma}{200~{\rm km}~{\rm s}^{-1}}\right)^{5.1}.,M-sigma relation (N/A),-,-,-,-,-,-,1,global,2172,-1
m,N/A (N/A),-,-,-,-,-,-,-,local,False,False
1,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\ell_\mathrm{P} =\sqrt\frac{\hbar G}{c^3} ,Planck length (Q207387),-,-,-,1,-,-,1,global,1803,-1
P,N/A (N/A),-,-,-,-,-,-,-,global,False,False
G,gravitational constant (Q18373),-,7,-,-,-,-,-,global,9046,-1
c,speed of light (Q2111),-,1,2,-,-,-,-,global,3208,-1
 1 \ \ell_\mathrm{P} \approx 1.616\;229 (38) \times 10^{-35}\ \mathrm{m},Planck length (Q207387),-,-,-,-,-,-,-,global,4244,3266
Delta,N/A (N/A),-,-,-,-,-,-,-,global,False,False
r,radius (Q173817),2,2,1,-,-,-,-,global,2118,-1
s,N/A (N/A),-,-,-,-,-,-,-,global,False,False
m,mass (Q11423),1,3,2,-,-,-,-,global,4424,-1
e,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\Delta r_s\Delta r\ge\ell^2_{P},Heisenberg's uncertainty principle (N/A),-,-,-,-,-,-,2,global,4501,-1
r_s,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\Delta (2Gm/c^2)\Delta r\ge G\hbar/c^3,Heisenberg's uncertainty principle (N/A),-,-,-,-,-,-,2,global,4804,-1
\ell_P,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\hbar,Planck constant (Q122894),-,-,-,-,-,-,-,global,1923,-1
\Delta(mc)\Delta r\ge\hbar /2,Heisenberg's uncertainty principle (N/A),-,-,-,-,-,-,2,global,2300,-1
d,N/A (N/A),-,-,-,-,-,-,-,global,False,False
S,interval (Q189962),-,-,-,-,-,3,-,global,4116,-1
dS,N/A (N/A),-,-,-,-,-,-,-,global,False,False
Omega,coordinate (N/A),-,-,-,-,-,-,-,global,3637,8720
varphi,coordinate (N/A),-,-,-,-,-,-,-,global,4089,6821
dS^2=\left(1-\frac{r_s}{r}\right)c^2dt^2-\frac{dr^2}{1-{r_s}/{r}}-r^2(d\Omega^2+\sin^2\Omega d\varphi^2),Schwarzschild solution (N/A),-,-,-,-,-,-,-,global,6011,2385
r_s\approx\ell^2_P/r,Schwarzschild radius (Q72755),-,-,-,-,-,-,-,global,14263,1744
dS^2\approx\left(1-\frac{\ell^2_{P}}{r^2}\right)c^2dt^2-\frac{dr^2}{1-{\ell^2_{P}}/{r^2}}-r^2(d\Omega^2+\sin^2\Omega d\varphi^2),Schwarzschild solution (N/A),-,-,-,-,-,-,-,global,753,8319
r=\ell_P,N/A (N/A),-,-,-,-,-,-,-,global,False,False
g,metric (N/A),2,-,-,-,-,-,-,global,5517,-1
g_{00}= 1-\Delta g\approx 1-\ell^2_P/(\Delta r)^2,spacetime metric (N/A),-,-,-,-,-,-,-,global,5658,1999
\Delta g\sim\ell^2_P/(\Delta r)^2,quantum fluctuation (Q1193821),-,-,-,1,-,-,-,global,2735,-1
"\Delta g\,(\Delta r)^2\ge 2\ell^2_P",Rosenfeld uncertainty relation (N/A),-,-,-,-,-,-,-,global,9451,2680
\Delta r,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\Delta r_s,N/A (N/A),-,-,-,-,-,-,-,global,False,False
zeta,deviation (N/A),-,-,-,-,-,9,-,global,6656,-1
E,energy (Q11379),1,4,2,-,-,-,-,global,1926,-1
l,length (Q36253),1,-,1,-,-,4,-,global,14353,-1
nu,frequency (Q11652),-,-,-,-,-,-,-,global,4040,18449
Gamma,Christoffel symbol (N/A),-,-,-,-,-,-,-,global,2204,-1
\varphi,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\zeta,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\zeta\sim 1,N/A (N/A),-,-,-,-,-,-,-,global,False,False
E=\hbar\nu\sim \hbar c/l, energy of the oscillation of scale (N/A),-,-,-,-,-,-,-,global,2838,3007
\zeta=\varphi/c^2,deviation (N/A),-,-,-,-,-,-,-,global,3726,3144
\zeta\ll 1,N/A (N/A),-,-,-,-,-,-,-,global,False,False
c/l,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\varphi=Gm/l,gravitational potential (N/A),-,-,-,-,-,-,1,global,2086,-1
m=E/c^2,mass–energy equivalence (Q35875),-,-,-,1,-,-,1,global,1951,-1
"\varphi=GE/l\,c^2=G\hbar/l^2c",gravitational potential (N/A),-,-,-,-,-,-,-,global,8087,1907
c^2,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\zeta=G\hbar/c^3l^2=\ell^2_P/l^2,deviation (N/A),-,-,-,-,-,-,-,global,4200,2384
\zeta=1,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\ell_P=\sqrt{G\hbar/c^3}\approx 10^{-35}\mathrm{m},Planck length (Q207387),-,-,-,-,-,-,1,global,1962,-1
\Delta\Gamma,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\ell^2_P/l^3,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\Delta g,N/A (N/A),-,-,-,-,-,-,-,global,False,False
\ell^2_P/l^2,order (N/A),-,-,-,-,-,-,-,global,2885,1828
c,speed of light (Q2111),-,1,2,-,-,-,-,global,1395,-1
